,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40
Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADAMTS1|9510,1571,3866,2635,13164,3868,4750,19760,4789,6656,5570,25272,6079,8795,9699,40490,9339,25924,7225,17892,49628,7561,5504,3131,20461,4262,9556,4138,11425,5842,16096,8508,3467,4979,12878,7292,25436,16805,9414,5935,16591
ADORA1|134,252,380,459,628,689,1150,757,2724,520,1098,2245,1919,306,647,256,738,238,1369,322,444,66,309,31,315,193,303,897,77,89,582,54,195,188,1844,612,1347,407,29,887,500
ADCY4|196883,440,340,229,459,349,494,396,289,501,307,1090,647,422,622,2203,360,313,402,668,720,1040,836,406,718,968,927,416,1607,942,1224,1289,745,456,973,731,1192,228,1426,1407,931
ADRA2C|152,405,382,395,1815,1091,341,740,1497,721,1756,1787,397,1320,2619,2696,1820,941,2684,2330,1347,115,248,69,330,70,844,190,268,103,534,253,120,211,755,10,100,417,498,451,613
AEBP1|165,4249,6090,3606,21380,12388,8164,6618,11293,18946,22553,34445,11605,13664,21255,20178,27835,8870,15646,14098,15193,3834,35716,8524,37557,14018,25505,29628,5868,4165,34442,17199,9820,1627,35970,14253,4449,8629,8697,7040,13571
AGXT2L2|85007,1128,1175,905,607,928,1113,1011,522,1545,820,1662,1896,962,1521,1460,1194,716,961,1651,1216,4671,4254,983,2956,2618,1921,1762,3856,5264,1976,5539,2367,2778,3881,3924,4975,2113,2454,4019,2030
AGTR2|186,15,2,27,3,49,48,3,6,19,12,253,33,6,17,16,11,0,5,16,39,2,0,3,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,4
ACCS|84680,720,457,404,161,219,733,425,282,1038,377,434,557,659,389,622,289,356,544,440,513,2306,1009,570,1000,983,1020,375,1025,3429,630,934,336,1511,696,239,604,408,585,623,707
ACTB|60,64947,97097,70212,150578,101611,95881,283780,317640,151412,177528,222486,156022,193772,204005,362895,327929,315561,236808,720242,282627,182787,211497,99980,176394,122458,338640,370244,221764,171023,392008,124781,119863,269752,322500,286897,300541,224713,178303,186153,184207
AGR2|10551,71,63,166,1875,498,290,2533,4041,644,2491,754,451,397,44,272,244,121,924,423,198,9,3,665,1,1,0,0,0,0,0,0,0,8,0,0,41,1,0,0,1
ACSL6|23305,175,178,208,95,249,189,48,30,365,220,232,625,331,282,319,259,119,269,231,397,98,44,109,9,13,33,22,478,39,23,16,17,66,6,16,71,16,352,299,29
ACSL4|2182,5095,7039,7315,20351,19971,8762,19961,14634,17715,10256,23402,16745,8478,15258,16966,11564,3975,13912,12297,14916,4586,5908,11167,6932,3202,4040,4717,6697,7060,15307,5000,2763,2750,3638,6059,8970,3374,4709,6819,7480
ACSBG2|81616,123,187,88,2,45,39,2,2,114,0,7,218,1,18,7,0,0,1,3,63,7,4,1,5,4,8,4,16,6,9,5,4,12,5,3,3,14,6,3,7
AKAP6|9472,681,533,312,462,582,632,1098,648,1254,665,825,1259,1574,1500,2003,964,529,612,1754,1545,750,502,1326,840,1502,261,366,1221,965,1150,2040,864,44,1158,1653,1340,422,1528,1161,1244
ADAMTS2|9509,39,141,59,209,190,121,32,167,330,285,750,120,137,218,170,187,66,229,47,191,421,1513,371,558,345,1340,744,779,365,1236,608,122,203,1152,705,912,408,246,184,861
ADAD1|132612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTSL2|9719,1353,1546,831,1785,1415,1832,933,2881,2936,4989,3935,2259,3854,5182,3746,2803,2575,2938,3097,3582,384,891,1061,267,320,694,554,2029,814,1652,1119,364,365,1257,50,998,390,2327,1248,1777
AHSA2|130872,594,405,294,190,174,1445,223,235,619,292,379,419,315,279,715,160,113,205,314,194,2525,2414,1862,1695,2188,1098,402,1637,4011,387,1231,339,1306,601,375,749,397,479,572,436
ADAM8|101,69,112,118,310,177,71,110,75,120,44,269,77,78,52,120,37,40,115,48,60,647,769,111,547,467,747,3053,546,607,324,264,225,1142,186,1900,496,712,146,524,457
ABCD4|5826,2188,2753,1525,1201,2176,1447,2752,2581,3815,1649,3003,3421,1744,2032,3274,2047,1100,2300,2516,2527,3449,2032,811,1735,3142,1989,1194,2253,2045,3898,2983,2699,1801,3197,2707,2092,2090,3234,2398,2964
ACP5|54,7045,7030,4959,1285,6095,2675,384,401,14121,358,10179,8131,187,385,352,237,204,329,314,1676,12011,3683,195,1926,1266,3337,1311,7497,3252,2740,1001,2247,5295,2179,25542,13255,3582,5250,474,933
ADAM23|8745,13,18,44,102,59,31,38,43,67,65,148,269,45,102,313,89,16,89,311,185,38,174,23,11,17,131,42,11,16,136,31,3,13,7,10,15,118,15,19,32
ABCA7|10347,306,211,204,325,478,489,881,1110,572,522,761,639,518,709,1107,621,426,961,729,638,590,530,635,219,642,778,263,1096,1201,267,306,258,1041,398,286,610,305,219,329,424
ACADL|33,1478,1374,1024,439,820,944,2159,2263,2022,1423,1089,2538,2016,1936,2286,1591,1117,1376,2362,2519,4063,2026,2252,1104,1979,162,79,4785,9112,3451,3306,2406,3042,1451,1387,6438,2457,4055,3600,3684
AAAS|8086,1105,1091,746,794,844,1120,2276,2176,1649,1318,1646,1913,1552,1771,2921,1799,1250,2122,2619,2221,2443,1931,1334,1567,1949,1726,2063,1877,2187,1978,1983,1454,1740,1998,2099,1981,2152,1563,1622,2674
ACOT8|10005,1362,1287,848,505,796,631,1721,1379,1220,981,1067,1500,1348,1553,1965,1806,1428,1501,1836,1749,1351,850,1130,674,860,1048,1669,1083,972,1317,759,752,1040,985,757,925,1312,894,976,1526
AHSG|197,2,2,1,2,1,3,17,6,11,20,15,7,20,10,34,11,10,12,18,8,2,3,0,1,0,3,0,1,0,13,1,0,0,3,7,3,0,11,0,0
ABCB9|23457,213,233,120,120,150,183,401,447,268,319,302,354,341,390,427,299,158,526,426,297,246,330,193,597,284,273,205,168,137,311,178,102,126,300,186,209,686,81,157,292
ABR|29,1924,1944,1749,2539,2669,2690,2578,3012,3486,2551,6091,7389,2710,4147,4644,2656,1332,3063,2759,3410,4398,4870,16802,2738,3846,3462,1832,5200,7116,5651,4776,3637,5435,3283,3911,7895,3657,11156,5289,5294
ACOX3|8310,513,720,475,365,680,440,1263,1293,997,848,940,1204,976,1424,1921,1596,769,1643,1907,1375,867,714,726,864,840,1029,1144,1050,752,1314,825,591,1017,848,1238,1118,1557,515,998,1112
AHDC1|27245,1111,1065,618,994,589,1052,1739,1241,1399,1637,2394,2259,3434,2776,5071,2079,2085,2045,2746,2398,2377,2662,644,1704,2039,1828,1451,1535,2150,2904,2452,2294,2137,3380,1993,2300,2250,988,2405,2188
ACSBG1|23205,6,13,9,17,16,18,17,26,17,24,24,18,31,15,19,20,14,18,20,17,5,22,16,89,11,15,9,19,3,23,6,5,14,31,10,10,6,15,33,23
ACP1|52,4490,4480,3650,2047,3699,2888,6651,6538,5557,4187,4038,6799,4735,6406,6689,7160,3360,5349,7047,7260,5878,4841,4468,4616,4365,2567,4355,5372,6297,6558,8042,4290,4343,7081,7962,7286,5085,10110,5802,9220
ACER3|55331,862,867,711,819,1171,780,1308,1201,1472,1006,1455,1425,998,1166,1503,975,472,936,1308,1766,2184,1471,682,1257,1003,1028,1103,1749,1254,2016,1240,515,867,686,1495,2632,1805,2215,1095,2386
ACTA1|58,4,1,0,0,1,5,2,6,2,1,2,1,5,6,16,8,12,1,370,58,2,7,0,1,2,6,1,9,7,1,0,2,1,1,2,4,1,0,2,2
ABL2|27,897,1183,617,1751,1072,1085,2207,1781,1550,1200,2381,1800,1962,2575,3424,1378,785,1399,2171,3066,3252,4050,1404,7397,3364,2782,2829,3038,3641,5049,5129,1961,1950,2576,5462,5023,3571,3512,4088,4448
ABTB1|80325,1209,1034,767,1131,975,902,1022,1262,1300,975,1689,1466,1395,1318,2163,1431,968,1707,1972,942,1665,1965,1432,784,1472,1088,1183,1630,1633,2161,1639,1161,1664,1127,1760,1740,768,1296,2598,1393
AGGF1|55109,1716,1854,1339,1505,1991,1701,3685,3846,2863,2255,2846,3471,2358,3675,3822,2690,1195,2443,2457,4270,2225,3106,2207,2233,1995,1439,1978,2952,4515,3962,3396,2732,2069,2662,2538,4592,1794,4295,2957,4010
ABHD12B|145447,13,5,9,5,7,16,3,6,7,5,40,23,2,0,4,2,0,4,4,4,9,16,3,22,14,7,10,8,20,25,14,8,2,18,9,17,19,24,8,8
?|100130426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADM|133,683,3044,841,719,813,1418,236,317,1329,950,4617,1754,1003,649,2099,2629,2000,816,5650,1180,13186,6310,2038,27834,9723,10127,19452,12814,11928,11233,12040,7213,8069,21155,29684,10050,15261,19212,6270,13290
AKAP12|9590,2980,8615,4450,13980,8085,5693,9511,15402,13543,12263,24927,9397,8340,12726,17010,9807,3877,21527,23370,20782,8385,29791,2028,9933,5762,5618,5046,12243,2904,8219,11545,11042,18457,17700,21408,37471,1487,71910,17151,23053
ABI1|10006,2768,3122,2226,2449,3214,2346,5118,6041,4071,3348,4061,4367,4014,4973,5755,3891,2103,3515,5392,5690,4929,4615,2668,2702,3264,2889,3118,4569,5870,5441,4562,2936,4104,3646,7265,7158,3656,4101,4345,5508
AGER|177,71,39,48,43,14,134,34,61,75,38,53,49,29,30,89,13,18,32,59,60,352,349,57,93,310,180,101,297,787,56,126,49,139,65,48,140,113,57,65,82
ADAD2|161931,1,2,2,1,3,10,16,1,2,2,12,3,13,18,7,18,2,9,47,7,1,5,4,3,0,9,0,0,0,2,5,2,1,1,1,3,1,0,8,0
ADAMTSL4|54507,84,118,120,260,138,259,246,167,340,255,513,336,167,223,459,132,153,150,170,337,1141,3382,490,2155,2002,561,522,854,1362,567,1775,1060,1942,1322,3870,1045,1233,999,230,2820
ADI1|55256,20360,22125,17050,4947,15094,12741,10277,11140,23687,7980,13964,29294,8401,10896,11503,14016,7049,12138,16450,18798,5305,4726,7216,2630,7603,5941,17078,6439,8201,8210,21928,6553,9098,10403,5650,8207,12389,7245,7957,15740
AFM|173,5593,6549,5305,188,1255,1407,0,4,8592,2,2596,4980,2,62,1,1,0,0,5,1386,9,88,1,0,24,4,0,1,6,2,224,27,9,76,2,7,1,3,43,22
ADORA2A|135,334,256,153,269,266,260,371,1316,340,1198,686,314,769,1155,911,536,518,851,995,484,1935,666,471,2131,612,930,793,1084,1494,1052,797,812,1009,1217,1465,1486,423,814,1458,1601
ABCA13|154664,87,17,6,22,19,11,382,415,39,480,25,5,455,588,1156,473,143,277,805,468,1,2,42,94,4,2,0,1,4,20,2,0,1,3,2,7,0,0,1,8
ACRBP|84519,110,48,47,94,74,34,66,314,158,92,146,104,61,55,58,50,26,66,50,128,269,190,36,211,362,178,148,194,423,194,273,126,310,197,346,411,323,235,143,213
?|391714,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,2,2,1,0,0,1,1,0,0,0,0,3,2,1,2,2,0,1
ADAM18|8749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,151,0,0,1,71,113,1,0,3,40,0,9,1,0,5,303,3,56,7
ACHE|43,58,77,38,92,35,39,407,89,66,159,102,69,149,179,451,140,126,172,217,218,397,259,54,456,137,545,2380,56,45,78,78,48,102,146,402,81,715,39,42,322
ABI3BP|25890,1193,1644,826,4193,1797,933,2315,8818,2564,3110,4010,2935,3268,2645,4039,1131,1087,1585,6297,2879,2606,5133,235,296,9573,1150,948,4026,1774,13210,10064,2000,357,414,5661,11943,11738,7353,4153,5380
ACTL7A|10881,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADCY5|111,648,499,227,517,234,656,3186,2200,893,1863,1091,864,3443,3878,5850,3230,1968,3055,4701,3654,1519,2513,2292,529,1364,370,333,2230,2860,2991,4425,1761,578,1897,2309,5656,59,1195,2852,2670
AK2|204,8766,10939,7828,3659,6717,5528,11370,11902,10693,6728,7911,13796,7264,9255,12465,9562,4977,10362,11708,10500,10216,7874,3237,8244,5678,6865,8631,10048,5971,12070,10806,7210,9105,8744,12111,12048,7105,6770,8106,10259
ABCF1|23,2271,3238,1846,2207,2050,2689,6634,5933,4730,4860,5340,5536,4956,5344,7434,4921,3081,6256,7610,5887,2924,3353,3064,1970,2632,2469,2393,4643,4830,6584,3583,2710,4218,4654,4477,6247,1894,5408,3431,4496
AARSD1|80755,736,868,561,659,873,744,1939,1481,1392,884,1386,1570,1211,1371,2523,1687,1193,1619,2015,1824,1195,1239,958,1071,1040,1142,1151,1692,2095,2096,2350,1688,1621,1976,3718,1956,825,2333,1605,1832
?|340602,4,0,0,3,0,3,0,2,3,5,4,0,0,0,2,1,2,0,2,1,5,6,0,23,20,0,3,0,2,6,4,0,1,0,7,3,7,0,8,3
ACPT|93650,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AHCYL1|10768,10017,12602,8911,7334,12003,12177,20435,20332,18064,14149,17821,24602,16945,23537,27889,22774,10612,18562,25348,28867,9534,9606,8481,8506,9556,5570,8406,10307,11435,17609,15462,7002,6430,12843,16921,14222,10878,9844,10577,13701
ADAMTS3|9508,34,90,60,142,221,124,395,211,114,117,442,207,246,328,478,372,111,174,317,506,435,418,78,319,554,230,213,139,76,668,138,84,145,79,63,73,223,65,299,1096
ADAP2|55803,454,494,318,446,517,334,179,175,643,296,541,616,88,260,284,158,78,282,171,529,2348,1909,251,1021,1326,1721,1484,2140,1970,2847,901,721,1740,864,3402,2782,1720,1825,885,1948
ACTA2|59,5270,8696,5450,14194,11528,10902,7464,6541,33503,14441,34709,14550,6129,15367,10799,16625,4041,6214,9092,29658,7893,49294,8168,17331,13275,46496,64042,53572,8405,98063,34332,9519,8139,36334,22156,61790,12324,32150,18368,23961
ADAMTS16|170690,372,490,266,1060,691,613,941,35,902,271,2085,1448,541,321,1355,289,144,260,426,1078,9,67,34,8,13,88,30,445,773,22,27,283,8,225,14,423,72,27,19,5
ADAMTS5|11096,727,607,440,825,1222,986,2663,401,953,1006,1517,787,929,1195,1511,1045,469,640,1231,3791,2674,2771,1757,3291,3401,2962,1311,1554,1705,4848,1504,1048,1001,4962,3031,4186,1302,2154,2247,7549
ADRB3|155,0,0,0,2,3,3,0,93,0,69,8,0,9,5,6,5,4,20,3,2,0,9,0,7,0,7,0,0,0,4,0,2,0,1,0,1,0,3,0,0
ADCY6|112,1854,2476,1271,2547,1664,2872,5817,7341,4214,6507,4804,5313,8819,7412,11263,6808,4229,8521,11348,5348,2820,5879,4612,2241,2925,1622,1489,5117,6037,4769,3437,2425,2549,3810,2309,4442,5112,2689,3509,4759
AGPS|8540,2963,2870,2313,2459,5096,2622,4643,6768,4759,3693,4395,4351,3547,5167,4641,4024,1523,3352,3928,6044,5021,7955,2047,3874,4352,2173,4062,7286,6315,6821,4490,4359,2928,5887,6118,10866,4337,8660,4201,8709
ADAMTS4|9507,62,632,220,5123,674,536,203,120,884,146,3389,90,417,578,2148,253,1780,583,1089,5635,4782,3235,935,19211,2771,10742,2767,3374,3049,8981,2766,1725,1644,4787,2975,11086,2170,3128,2194,5094
AGAP7|653268,6,3,8,3,1,14,6,27,10,7,11,6,3,2,19,1,1,5,34,8,40,19,11,7,9,17,7,112,54,4,6,7,7,4,4,11,3,2,31,7
AGBL5|60509,2905,2736,2078,1442,2668,1976,4894,4034,3657,2910,2795,3777,3577,4002,5272,4474,2537,4017,5728,4413,3208,4077,3807,3487,3391,1202,2897,3494,2844,3058,4199,1898,2773,3034,2525,4327,8795,4291,3390,4851
ABP1|26,40228,53322,21770,5210,29741,6154,25580,64233,29079,28902,27267,63905,41899,12856,7596,13564,21407,17527,37826,17383,33341,3492,276,243,8834,3272,11367,31911,26607,13064,9001,45571,13603,141,80,18263,1830,112,22325,2049
ACO2|50,17820,26205,14688,6527,15343,14186,23965,13173,35874,11177,20553,42873,20593,20449,26751,22243,13831,17102,25302,29837,17770,11951,24740,7562,13619,7366,6480,19242,15982,19850,30399,19356,18554,23973,12782,15250,10446,11309,17197,15158
ACCN1|40,26,37,35,69,37,35,426,100,39,13,164,78,138,153,268,325,451,410,364,96,5,7,493,7,1,73,50,30,7,65,3,0,2,4,0,9,127,51,4,7
AJAP1|55966,551,580,291,372,266,378,954,933,506,1091,857,574,1801,1620,886,764,408,636,1486,251,73,276,79,61,42,80,48,119,362,428,407,401,234,339,160,332,14,619,346,98
ADRA2A|150,219,190,60,230,302,337,404,207,296,1333,546,210,511,901,689,402,176,269,328,335,212,441,197,17,57,2509,192,38,39,449,74,44,80,77,52,32,183,69,113,701
AADAT|51166,292,326,382,140,416,272,348,248,614,237,405,584,345,345,568,505,203,249,510,555,156,158,918,139,257,126,89,343,310,340,280,185,169,491,186,297,321,342,164,292
AHSA1|10598,2767,3407,2091,2153,2319,1943,6055,6022,3662,3819,4203,4926,4554,5034,6578,5045,2923,5686,6729,5955,3535,2597,2591,2805,2311,3614,4555,3065,2418,6501,4240,2210,2746,4055,4228,3650,2680,3988,3410,4672
?|57714,998,1006,520,873,1137,857,2753,2323,1943,1984,2309,1720,2504,2176,4962,1595,707,3503,2404,1957,3048,2930,1597,1840,2252,980,753,4349,4478,2868,3854,1563,1784,1710,3579,7489,3676,1988,3181,4871
ADCYAP1R1|117,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,5,7,1,0,0,1,1,4,2,0,0,1,1,0,1,0,0,1
ADAM7|8756,1,5,0,0,4,1,1,0,1,2,5,6,0,0,0,0,0,0,0,1,0,2,0,0,0,50,14,0,0,0,2,0,0,0,0,1,25,0,0,0
ADAMTS14|140766,1,10,8,7,17,13,16,114,14,27,24,9,10,43,8,4,38,35,33,14,72,261,23,449,92,541,172,168,60,266,74,4,30,32,101,70,22,48,129,30
AADACL2|344752,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA10|10349,73,28,39,32,10,274,14,6,53,40,38,48,8,25,27,12,3,9,20,23,52,38,39,59,74,60,7,42,83,31,37,10,16,21,9,31,12,19,36,13
AEN|64782,238,607,388,797,698,376,2288,2263,821,1538,1061,636,869,1163,1283,915,505,1082,948,1735,2319,2732,859,1581,813,2280,2133,3431,3175,3455,1534,919,1721,5133,3448,3746,1903,2656,1153,2042
?|391343,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0
?|100134869,6,7,3,4,6,9,18,11,11,15,10,16,30,26,32,42,14,20,39,22,3,10,28,8,15,4,9,14,50,7,9,8,11,14,0,17,8,7,13,21
ADAM5P|255926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS19|171019,16,36,37,65,22,151,1,2,73,1,393,153,0,6,3,2,0,0,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG3L1|172,210,197,130,187,59,396,349,284,318,283,292,321,321,334,686,154,213,237,471,261,609,613,785,343,550,373,276,663,834,500,244,122,558,415,184,500,166,225,357,194
ACRV1|56,0,1,1,2,0,0,1,2,1,0,0,1,0,0,1,0,0,0,2,0,5,3,1,3,0,1,2,5,1,1,2,4,0,0,2,7,4,2,0,1
ABHD13|84945,771,823,732,1322,1509,785,2083,2809,1324,2365,1657,1392,1836,2804,2626,2392,1087,1779,2802,2803,1351,1276,1086,1071,1043,829,869,1607,1984,2394,1282,791,840,1621,1515,1985,1015,1554,1310,2270
AFAP1L1|134265,459,400,268,496,438,500,367,935,553,719,1479,1113,1027,1167,1320,717,515,790,1018,905,2213,2909,1131,1773,2452,2196,1715,2619,2574,4518,2848,2167,803,2643,4895,5024,1657,2270,3620,3470
ADAT3|113179,64,92,62,106,40,61,190,116,136,54,172,92,188,136,172,121,88,202,140,126,49,64,52,87,119,80,118,109,109,110,121,96,193,199,60,43,64,58,146,86
ADRB2|154,66,30,18,99,60,28,146,155,101,103,153,105,335,288,503,373,99,187,457,354,281,140,302,104,132,60,77,191,282,223,210,200,143,73,140,226,93,130,171,155
AHRR|57491,34,49,31,15,13,29,94,145,32,165,95,90,132,212,151,68,102,107,107,173,418,294,99,165,85,171,365,61,36,317,180,63,29,306,54,58,64,157,37,224
AFF3|3899,181,195,132,494,381,301,125,963,358,778,620,251,373,630,320,527,192,441,846,415,817,1460,84,217,1574,263,141,1802,2570,1001,4611,1426,1216,1469,2736,3623,156,2795,1320,1591
AGRN|375790,5943,9560,5765,27074,11726,9666,50687,34684,15607,23774,28697,23398,33377,30381,50839,28003,19243,38874,45079,20221,24994,34062,5852,33753,23337,19548,20541,34071,14884,41969,21312,30381,34124,29525,23129,25544,34783,15887,43167,40010
AACSL|729522,35,23,8,11,12,9,45,3,48,20,17,29,40,37,36,34,9,22,21,12,240,34,0,3,120,48,63,35,116,42,302,50,54,200,33,81,20,26,163,81
AGXT|189,1071,610,1437,22,865,929,9,0,3935,3,84,4821,37,322,54,27,1,2,48,791,43,90,0,1,16,18,8,52,9,49,79,26,29,59,3,17,43,109,69,10
?|553137,1812,979,803,289,254,822,1003,774,512,534,310,632,2340,2593,3207,1523,509,1088,3355,895,1823,1944,1139,414,932,288,28,796,2106,1522,892,836,560,2621,1039,4224,271,2341,2056,647
ADCY9|115,2944,3845,1639,1687,2163,2042,4032,3958,5017,3002,3689,4611,3844,4353,4858,3500,1647,3676,5097,3738,4041,3010,2447,2084,2968,1476,1287,4455,5598,3885,5417,4098,2778,4098,5173,5883,4203,7197,4893,5422
ADCY7|113,269,261,257,614,550,356,295,210,622,378,837,427,237,373,355,302,152,297,250,410,3156,3533,728,1255,2136,1402,930,3675,5437,2130,1375,753,2779,541,2049,4164,2770,1290,1439,2916
ADCY1|107,288,437,170,183,152,677,686,451,488,780,892,760,809,1076,1423,605,261,693,694,1283,243,793,5804,446,319,356,248,420,186,670,685,181,48,303,229,444,137,317,547,481
ADORA2B|136,39,19,20,43,18,15,58,68,34,108,59,5,94,63,83,48,18,28,116,97,78,88,64,495,63,147,70,179,70,203,145,28,51,178,100,146,58,124,96,290
AASS|10157,1424,1821,1225,915,1199,2700,1409,1244,5493,1044,2390,3471,1031,1556,2614,890,401,1036,2099,1676,433,807,1988,1012,1205,685,489,1204,3202,1305,1216,589,276,970,706,1123,307,1807,898,542
ABTB2|25841,651,2554,1349,1101,1078,920,3629,5858,2445,3276,3189,4128,4125,4829,4744,2624,1213,3260,3656,5185,170,495,760,369,482,346,874,563,208,499,1771,1947,1085,768,310,400,401,2001,354,559
ABL1|25,3101,4116,1980,2768,2554,3148,6584,4859,5261,4157,5364,5841,5734,6004,8233,3375,2586,4678,5112,6341,4785,5531,3069,5217,2772,3664,1695,5703,6600,7950,3886,4724,2730,7570,5242,5663,3179,7666,5781,5002
ADAMTS8|11095,76,59,43,129,67,86,176,81,155,184,305,190,182,209,321,329,109,130,285,335,33,33,25,45,21,44,72,60,35,45,55,24,11,22,14,97,6,48,37,46
ABHD10|55347,5193,5582,4197,1696,4515,3007,4649,5433,6402,3342,3595,8487,3679,5210,5158,4381,1938,3964,4072,6087,3094,3268,5395,1298,2326,1534,2236,3355,2276,4229,3773,1798,2026,2916,3629,4352,2254,3082,5051,2295
ADCK2|90956,818,882,532,1107,1026,697,2646,2894,1361,1659,1589,1346,2232,2403,2811,2581,1688,2964,3316,2474,3052,2852,1620,3151,3065,1465,2580,2194,2972,3131,3315,1793,3044,2455,4381,3265,4818,4128,2454,3943
ABCG4|64137,20,7,3,11,7,10,57,65,10,84,18,6,44,140,129,99,67,87,107,66,21,18,25,15,12,32,9,27,23,62,16,10,13,26,32,23,10,21,13,16
ABCB11|8647,0,1,1,0,0,0,1,4,2,2,0,1,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,7,0,1,1,10,4,0,1,2,1
ADAM3A|1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRC|93953,20,18,9,9,8,33,25,19,23,22,14,23,12,30,31,36,15,35,35,28,68,72,42,51,54,41,50,54,67,40,69,13,34,27,24,53,15,18,34,20
ACSM5|54988,2060,2768,1271,390,742,931,152,18,3621,48,1184,2329,97,108,282,43,35,80,787,911,4381,3707,8,198,1610,1107,1997,2597,6461,4756,3527,1549,888,1413,716,1818,2004,2250,3558,1570
AAA1|404744,4,6,8,3,12,7,1,0,13,0,10,30,2,0,10,0,0,0,3,5,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRA1B|147,175,200,117,74,122,186,76,425,421,328,378,349,162,200,89,234,82,238,266,164,319,312,127,325,614,1056,1151,805,314,806,1937,321,354,959,359,626,1166,475,1209,495
AIDA|64853,1200,1315,1252,2180,2707,1540,3705,5898,2235,3049,2841,2453,2560,3926,3219,3569,2223,4912,4080,3330,3602,3675,1010,3145,3072,4137,5775,4991,6080,5219,4302,3583,5518,3067,5923,7287,2808,6969,4462,4131
ACE|1636,1850,5746,716,315,1681,1199,429,900,7781,603,1388,3832,456,293,424,123,58,365,295,1466,4850,7759,779,2772,3823,2009,514,1433,2755,3331,4228,3968,3722,4358,10150,3217,3722,3396,11386,6246
ADAP1|11033,793,910,627,787,691,758,2985,3068,1425,2361,1368,1676,2334,2451,3064,2590,2093,2868,3466,1720,714,544,126,172,476,388,403,637,586,769,257,563,771,440,518,714,877,533,575,456
AK5|26289,73,141,29,113,167,65,80,62,161,88,153,92,32,95,221,75,28,30,123,184,26,23,6,2,17,18,41,40,0,34,24,6,22,6,16,5,14,42,65,15
ACBD6|84320,575,689,478,584,719,561,1112,967,895,639,1051,980,979,1053,1304,1220,658,1003,1599,966,1118,1219,388,972,949,1199,1199,1160,1228,1858,1347,1039,1501,1456,1472,1490,723,1310,1456,1484
AGPHD1|123688,479,420,309,78,234,337,405,291,563,178,308,581,254,393,306,337,116,244,316,458,51,57,119,18,60,38,40,74,53,106,116,33,20,57,40,98,72,92,47,74
AIMP2|7965,983,1225,746,506,789,651,2708,1235,1534,1094,1500,1678,1245,1745,2015,1907,1212,1749,2014,2433,1050,932,1074,520,480,795,1610,1247,994,1388,749,629,1053,1861,748,1444,590,1522,690,1407
AKAP5|9495,364,177,108,407,223,115,587,1485,239,1279,375,232,1013,1330,997,958,264,749,1637,612,293,202,54,61,222,353,161,544,538,406,224,103,380,86,84,796,162,192,223,140
ADAL|161823,721,713,460,267,357,628,1294,1427,919,979,760,1271,1017,1291,1959,1566,798,1096,2034,1847,604,773,1262,187,284,227,148,757,887,508,569,460,324,681,402,1018,471,671,377,414
ABCF2|10061,1829,2249,1490,1825,2075,1761,5159,6442,3363,4155,3645,3769,3946,5004,5803,4615,2388,5311,5754,3970,3092,3762,4609,2858,2128,2501,3820,3753,3675,4874,2449,1750,2715,3503,3250,4894,3025,4008,2643,4306
